appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,owners_variance,players_forever,players_forever_variance,players_2weeks,players_2weeks_variance,average_forever,average_2weeks,median_forever,median_2weeks,price
594570,Total War: WARHAMMER II,Creative Assembly,SEGA,68,10590,1375,87,747555,26866,22518,151887,12117,5102,816,2510,356,5999
10190,Call of Duty: Modern Warfare 2,"Infinity Ward, Aspyr (Mac)","Activision, Aspyr (Mac)",78,27342,2616,89,5415603,71979,58098,100837,9873,8241,190,2053,46,1999
306130,The Elder Scrolls Online,Zenimax Online Studios,Bethesda Softworks,39,24337,7406,79,1720286,40717,33363,113473,10474,5167,1200,1232,338,2999
261180,Lethal League,Team Reptile,Team Reptile,86,4593,302,95,802396,27833,19858,72784,8388,301,141,155,76,1399
214950,Total War: ROME II - Emperor Edition,Creative Assembly,SEGA,43,28207,7587,77,2659405,50578,41976,125603,11019,7749,651,2501,243,5995
298110,Far Cry 4,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",Ubisoft,43,13965,3881,77,1203973,34080,28129,88706,9260,2225,586,1373,227,2999
524220,NieR:Automata,Square Enix,Square Enix,47,28270,6952,82,911572,29663,24324,91738,9417,1548,330,905,115,5999
386180,Crossout,Targem Games,Gaijin Entertainment,23,7377,3770,66,1763249,41220,32844,109176,10273,1007,517,165,89,0
700330,SCP: Secret Laboratory,Hubert Moszka,Hubert Moszka,39,4743,1432,76,816548,28077,22425,96540,9661,186,185,31,48,0
476620,Call of Duty: WWII,"Sledgehammer Games, Raven Software",Activision,13,9075,6731,55,950239,30284,24667,120296,10784,2227,442,844,84,5999
453480,Shadowverse CCG,"Cygames, Inc.","Cygames, Inc., Cygames Korea Inc.",39,4733,1456,76,1379615,36475,29237,113978,10497,3257,703,261,184,0
