original_price,discount_original_price,discount_final_price,release_date,reviews,item_id,genre
Free to Play,0,0,  Sep 10  2015,  [Mixed],376310,  [Massively Multiplayer- RPG- Indie- MMORPG- Open World- Cyberpunk- Sci-fi- Free to Play]
Free,0,0,  Apr 5  2016,  [Positive],457230,  [Strategy- VR- Futuristic]
US$1.99 ,US$66.63 ,US$49.94 ,  Apr 27  2016,  [Mixed],461890,  [Indie- Adventure- Cyberpunk]
US$14.99 ,0,0,  May 20  2016,  [Very Positive- Very Positive],311010,  [Adventure- Indie- Action- Pixel Graphics- Puzzle-Platformer- Platformer- Retro- 2D- Sci-fi]
US$3.99 ,0,US$103.08 ,  May 20  2016,  [Very Positive],476490,  [Choose Your Own Adventure- Adventure- RPG- Indie- Pirates- Interactive Fiction]
US$6.99 ,0,US$15.17 ,  Mar 6  2016,  [Mostly Negative],424830,  [Indie- Action- Platformer- Multiplayer]
US$19.99 ,0,0,  May 12  2016,  [Mixed],363520,  [Action- RPG- Indie- Adventure- Survival- Robots- Crafting- Open World]
US$4.99 ,0,0,  May 1  2015,  [Positive],353260,  [Strategy- Action]
US$9.99 ,0,0,  Apr 16  2015,  [Mixed],344840,  [Strategy- Indie- Simulation- Space- Sci-fi- Moddable- Great Soundtrack]
US$17.99 ,0,0,  Jul 1  2014,  [Mixed],274010,  [Simulation- Action]
US$12.99 ,0,0,  Feb 12  2015,  [Mostly Negative],345710,  [Early Access- Action- Adventure- Strategy- Indie- Zombies- Survival- Horror- Base-Building- Open World- Tower Defense]
US$0.49 ,US$1.99 ,US$0.49 ,  Jan 4  2016,  [Very Positive- Very Positive],428900,  [Indie- Casual- Action- Minimalist- Arcade- Fast-Paced- Music- Difficult- Music-Based Procedural Generation- Psychedelic]
US$9.99 ,0,0,  Aug 20  2014,  [Mostly Negative],317720,  [Action- Indie- Strategy- Tower Defense]
US$4.99 ,0,0,  Mar 24  2016,  [Mostly Positive],432280,  [Shoot 'Em Up- Action- Indie- Casual- Top-Down Shooter- Bullet Hell- Arcade- On-Rails Shooter]
US$6.99 ,0,0,  Jan 1  1992,  [Mixed],329680,  [Simulation- Naval- World War II- Retro]
US$7.99 ,0,0,  May 5  2016,  [Positive],443630,  [Indie- Action- Casual- Local Co-Op- Controller]
US$8.99 ,0,0,  Jun 4  2015,  [Mostly Negative],293280,  [Massively Multiplayer- Adventure- Walking Simulator- Exploration- Open World]
US$2.99 ,0,0,  Nov 11  2015,  [Mostly Negative],418960,  [Indie- Casual- Action- Adventure]
US$9.99 ,0,0,  Jul 30  2010,  [Mixed],49300,  [Strategy- Naval]
US$4.99 ,0,0,  Mar 19  2013,  [Mixed],226120,  [Indie- Strategy- Casual- Adventure- Rogue-like- Sci-fi- Space- Perma Death- Singleplayer- Exploration]
US$9.99 ,0,0,  Mar 22  2007,  [Mixed- Mixed],302080,  [Simulation- Indie- Driving- Singleplayer]
US$14.99 ,0,0,  Feb 19  2015,  [Very Positive- Very Positive],329130,  [Space- Building- Strategy- Sandbox- Action- Indie- 2D- Singleplayer- Top-Down- Open World- Sci-fi- Exploration- Great Soundtrack- Shooter]
US$1.99 ,0,0,  Dec 10  2014,  [],387580,  [Movie- Drama]
US$2.99 ,0,US$11.68 ,  Nov 2  2015,  [Positive],415320,  [Strategy- RPG- Indie- Casual]
US$9.99 ,0,0,  Aug 22  2014,  [Mostly Positive],315650,  [Indie- Casual- Action]
US$4.99 ,0,0,  Oct 19  2011,  [Very Positive],116120,  [Indie- Action- Casual- Puzzle- Arcade]
US$6.99 ,0,0,  Mar 23  2016,  [Positive],411750,  [Indie- Simulation- Sandbox- Physics]
US$6.99 ,0,0,  Nov 18  2015,  [Mostly Negative],391130,  [Action- Indie- Fighting]
US$0.99 ,0,0,  Apr 22  2016,  [Positive],443680,  [Action- Indie- Casual- Simulation]
US$4.99 ,0,0,  Nov 5  2007,  [Mostly Positive],3510,  [Casual- Hidden Object]
US$14.99 ,0,0,  Jun 13  2016,  [Mixed],435480,  [Racing- Great Soundtrack- Platformer- Retro- 1980s- Anime]
US$19.99 ,0,US$49.45 ,  Jul 2  2015,  [Very Positive- Very Positive],327220,  [Adventure- Indie- Point & Click- Female Protagonist- Dark Humor- Fantasy- Dark]
US$7.99 ,0,US$89.24 ,  Oct 19  2011,  [Mixed],70660,  [Casual- Pinball- Arcade]
US$9.99 ,0,0,  Feb 2  2012,  [Very Positive],204390,  [Action- Indie- Rogue-like]
US$0.99 ,0,0,  Jul 25  2014,  [Very Positive- Very Positive],274900,  [Indie- Action- FPS- Zombies- Multiplayer- Sandbox- Shooter- First-Person- Co-op- Arena Shooter- Voxel- Sci-fi- PvP- Building- Competitive- Parkour- Team-Based- Casual- Controller- Great Soundtrack]
