appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,owners_variance,players_forever,players_forever_variance,players_2weeks,players_2weeks_variance,average_forever,average_2weeks,median_forever,median_2weeks,price
202310,Ridge Racer Unbounded,BUGBEAR,BANDAI NAMCO Entertainment,11,495,414,57,208244,14187,90980,9378,1549,2144,325,7,64,13,999
33440,Driver San Francisco,Ubisoft Reflections,Ubisoft,32,1671,627,72,210771,14273,130405,11228,2022,1398,854,14,309,21,1999
434420,The Chosen RPG,Little Big Lee,,29,663,273,71,213298,14358,106144,10130,758,856,215,114,200,114,199
425410,Road to Ballhalla,Torched Hill,tinyBuild,71,242,28,93,198893,13865,35887,5890,0,0,79,0,15,0,1499
378860,Project CARS 2,Slightly Mad Studios,BANDAI NAMCO Entertainment,29,2568,1098,70,202684,13997,146832,11914,44227,6539,1592,260,540,148,5999
421020,DiRT 4,Codemasters,Codemasters,23,2364,1166,65,195102,13732,124340,10964,21229,4530,845,175,341,80,5999
91100,SkyDrift,Digital Reality,THQ Nordic,71,721,88,89,216331,14460,78597,8717,1153,1302,270,75,41,117,999
245490,Trials Fusion,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",Ubisoft,20,1048,593,63,196619,13786,135965,11464,3791,1914,638,167,260,210,1999
308580,Orborun,Tiny Lab Productions,Digerati Distribution,47,327,78,86,192322,13634,32096,5570,738,1445,475,9215,10,9215,599
201510,Flatout 3: Chaos & Destruction,Team 6 Studios,Strategy First,0,245,1724,11,204200,14049,75817,8561,769,1063,73,4,19,4,999
226580,F1 2014,Codemasters,Codemasters,41,1036,297,77,191817,13616,113978,10497,6533,3101,2150,199,640,51,2999
416080,The Odyssey: Winds of Athena,Liquid Dragon Studios,Epic Quest Games,22,325,174,63,191311,13598,115494,10566,2323,2626,206,45,212,67,49
234490,Rush Bros.,XYLA Entertainment,Digital Tribe,17,560,345,65,184741,13363,93508,9508,0,0,126,0,80,0,999
344910,Sun Blast: Star Fighter,OBLONE Software,EQ Games,20,375,214,61,189542,13535,112715,10439,3033,1712,231,425,190,459,199
