appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,owners_variance,players_forever,players_forever_variance,players_2weeks,players_2weeks_variance,average_forever,average_2weeks,median_forever,median_2weeks,price
433850,H1Z1,Daybreak Game Company,Daybreak Game Company,13,105043,78483,57,12618965,108111,9999344,96492,1497742,37662,3680,131,338,21,0
439700,H1Z1 Test Server,Daybreak Game Company,Daybreak Game Company,13,1044,809,55,12618965,108111,1612437,39073,17626,4091,134,51,17,6,0
620,Portal 2,Valve,Valve,99,119211,1563,98,11689734,104152,9376464,93497,213254,14229,900,171,532,60,1999
80,Counter-Strike: Condition Zero,Valve,Valve,71,10123,1163,88,11761729,104465,4582847,65679,62809,7723,1952,173,68,28,999
100,Counter-Strike: Condition Zero,Valve,Valve,71,10121,1163,88,11761729,104465,2066005,44209,15640,3854,197,53,32,10,999
400,Portal,Valve,Valve,97,44756,924,97,11665653,104047,7906279,85981,68023,8037,316,179,172,50,999
72850,The Elder Scrolls V: Skyrim,Bethesda Game Studios,Bethesda Softworks,86,228418,14747,93,11602844,103774,11129664,101684,461760,20933,7364,558,2963,117,1999
220,Half-Life 2,Valve,Valve,95,58798,2074,96,11142822,101743,6417227,77578,88380,9161,741,212,301,61,999
8930,Sid Meier's Civilization V,"Firaxis Games, Aspyr (Mac, Linux)","2K Games, Aspyr (Mac, Linux)",95,119353,4469,96,10730216,99883,10156740,97233,598054,23820,10671,883,2548,341,2999
271590,Grand Theft Auto V,Rockstar North,Rockstar Games,24,261030,123751,67,10143334,97170,9942245,96222,1892224,42316,7916,535,3997,165,5999
105600,Terraria,Re-Logic,Re-Logic,97,215844,6433,97,9872484,95890,9441260,93813,632562,24496,5133,605,1477,127,999
304050,Trove,Trion Worlds,Trion Worlds,41,44349,12790,77,9924370,96137,8176136,87413,206799,14012,1288,521,115,57,0
291480,Warface,Crytek,My.com,29,28181,11768,70,9689518,95015,6372044,77308,224177,14589,807,284,98,60,0
238960,Path of Exile,Grinding Gear Games,Grinding Gear Games,82,54460,4386,92,9362065,93426,6612109,78732,445127,20553,3959,1350,242,327,0
291550,Brawlhalla,Blue Mammoth Games,Ubisoft,59,56255,9698,85,9224779,92752,8520222,89202,532266,22473,904,256,134,58,0
224260,No More Room in Hell,No More Room in Hell Team,Lever Games,71,45790,5307,89,9118028,92223,5930640,74615,74477,8410,409,242,74,34,0
218230,PlanetSide 2,Daybreak Game Company,Daybreak Game Company,54,33710,6844,83,9133171,92298,5689085,73097,119660,10659,1433,280,134,72,0
333930,Dirty Bomb,Splash Damage,Warchest Ltd.,47,40394,9768,80,8751350,90383,5893402,74383,100545,9771,691,322,60,43,0
273110,Counter-Strike Nexon: Zombies,Nexon,Nexon Europe GmbH,22,20910,10783,65,8563170,89423,5463667,71650,45431,6568,1005,696,42,77,0
49520,Borderlands 2,"Gearbox Software, Aspyr (Mac & Linux)","2K Games, Aspyr (Mac & Linux)",95,123057,4166,96,8452696,88854,7568648,84154,311812,17204,3578,442,1357,125,1999
30,Day of Defeat,Valve,Valve,74,3060,327,87,7983239,86392,1750717,40708,8193,2789,1176,713,26,43,499
40,Deathmatch Classic,Valve,Valve,54,1128,216,82,7861841,85743,816025,27818,6455,2476,338,1099,8,44,499
60,Ricochet,Valve,Valve,45,2287,583,77,7854890,85706,899439,29203,4469,2060,232,1088,3,3,499
386360,SMITE,Hi-Rez Studios,Hi-Rez Studios,54,30170,6020,83,7879964,85840,5738240,73409,263898,15828,2317,803,144,204,0
407530,ARK: Survival Of The Fittest,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,15,4509,3093,64,7847442,85666,2161088,45210,23088,4682,239,47,23,9,0
360,Half-Life Deathmatch: Source,Valve,Valve,33,1053,383,72,7847690,85667,479387,21328,6455,2476,286,753,11,18,999
322330,Don't Starve Together,Klei Entertainment,Klei Entertainment,95,83875,2946,96,7444022,83468,6154073,75990,302130,16935,1723,358,536,111,1499
380,Half-Life 2: Episode One,Valve,Valve,86,6524,419,94,7352415,82961,2738040,50859,20357,4397,327,405,201,93,799
300,Day of Defeat: Source,Valve,Valve,74,9428,1035,88,6796317,79806,3030985,53496,37487,5966,1883,206,109,67,999
252950,Rocket League,"Psyonix, Inc.","Psyonix, Inc.",82,193459,15617,92,6995172,80949,6752375,79551,1302114,35123,6089,512,1195,229,1999
70,Half-Life,Valve,Valve,95,22579,880,95,6817915,79931,2790174,51339,51886,7019,678,433,100,53,999
420,Half-Life 2: Episode Two,Valve,Valve,89,12123,639,94,6788124,79759,2419276,47822,22095,4581,506,325,298,45,799
252490,Rust,Facepunch Studios,Facepunch Studios,47,187340,44944,80,6685097,79159,6292353,76829,486834,21493,7344,872,1463,207,3499
489830,The Elder Scrolls V: Skyrim Special Edition,Bethesda Game Studios,Bethesda Softworks,32,36224,13682,78,6277954,76742,3370353,56392,315040,17293,2344,581,526,142,3999
550650,Black Squad,NS STUDIO,"NEOWIZ, NEOBRICKS",33,19276,6778,73,6249652,76571,4395412,64334,428245,20160,614,358,68,65,0
273350,Evolve Stage 2,Turtle Rock Studios,2K,23,28291,14158,66,6108890,75714,4241988,63210,39721,6142,511,259,101,51,0
50,Half-Life: Opposing Force,Gearbox Software,Valve,89,4371,234,94,6040867,75297,874614,28798,14399,3698,644,703,120,95,499
20,Team Fortress Classic,Valve,Valve,57,2902,546,81,6008593,75098,855250,28478,7448,2659,915,1668,16,26,499
130,Half-Life: Blue Shift,Gearbox Software,Valve,74,3144,346,89,6008345,75096,810067,27716,8689,2872,516,1092,76,97,499
346110,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,24,123508,59661,68,5928406,74601,5674686,73006,514391,22093,9127,1284,1230,437,5999
208090,Loadout,Edge of Reality,Edge of Reality,62,35034,5624,86,6037391,75275,3646168,58638,21598,4529,382,362,103,20,0
