appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,owners_variance,players_forever,players_forever_variance,players_2weeks,players_2weeks_variance,average_forever,average_2weeks,median_forever,median_2weeks,price
603790,Ninja Avenger Dragon Blade,Meow Studios,Meow Studios,49,18,4,80,745,841,755,1044,0,0,62,0,62,0,1499
761630,akda,Snkl Studio,Snkl Studio,,5,6,0,993,971,1121,1266,747,1034,58,57,60,57,99
593970,Clash of Vessels VR,Druid Technologies,Druid Technologies,,3,0,0,747,1034,725,1420,0,0,13,0,13,0,399
770380,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Stegalosaurus Game Development,Stegalosaurus Game Development,,0,0,0,725,1420,0,0,0,0,0,0,0,0,1099
423780,Zero Gravity,Neo Red Entertainment,Neo Red Entertainment,,6,1,0,725,1420,0,0,0,0,0,0,0,0,1099
464900,Pitfall Planet,Bonfire Games,adamgryu,100,28,0,100,2483,1535,2234,1456,0,0,747,0,777,0,999
461340,A Timely Intervention,Aldorlea Games,Aldorlea Games,,6,1,0,747,1034,770,1508,770,1508,56,32,56,32,999
469560,Hyper Bowling VR,Blaze Forward Games,Blaze Forward Games,20,7,4,63,1099,1241,1099,1241,740,1449,156,1,302,1,499
772320,Yeti's Parole Officer,Choice of Games,Choice of Games,,2,1,0,733,1014,725,1420,0,0,41,0,41,0,499
468150,Trap House,Hive Mind Studios,Hive Mind Studios,,6,2,0,745,841,745,841,0,0,134,0,134,0,999
782380,Mirage of Dragon,ArkHouse,Forever Entertainment S. A.,,0,1,0,725,1420,725,1420,0,0,60,0,60,0,334
616910,The Zombiest Adventures In The Perverted Age of Enlightenment With a Pinch of Woodpunk,ORGS Studio,Snowbird Games,1,7,19,35,993,971,755,1044,0,0,72,0,72,0,0
749830,Moon Bullet,Yorg Ars,Yorg Ars,,2,0,0,745,841,0,0,0,0,0,0,0,0,99
534680,Dolphin Up,Rawkins Games,Rawkins Games,,9,1,0,993,971,993,971,740,1449,103,3,123,3,299
793180,-Hero Village Simulator,Smelter,Smelter,1,3,9,20,747,1034,747,1034,0,0,207,0,207,0,299
485110,PlanetFate,Aaron Matthies,Aaron Matthies,62,13,2,86,993,971,1132,1279,0,0,11,0,13,0,499
800620,Fallen Hero: Rebirth,Hosted Games,Hosted Games,92,40,2,95,1099,1241,740,1449,0,0,326,0,326,0,399
809490,Infernales: Circles of Hell,VGstudio,VGstudio,,0,1,0,733,1014,740,1449,0,0,101,0,101,0,599
370440,No70: Eye of Basir,Oldmoustache Gameworks,Artcom FZC,18,123,73,60,1986,1373,2265,1809,0,0,65,0,92,0,599
586920,Empyrean Frontier,Galdor Studios,Galdor Studios,,5,0,0,733,1014,725,1420,0,0,19,0,19,0,1999
485680,sphereFACE,VoxelStorm,VoxelStorm,92,19,1,93,993,971,745,841,0,0,173,0,173,0,999
796620,Girl X Mushrooms(X),shabi,shabi,74,45,5,87,1241,1085,1099,1241,0,0,28,0,43,0,399
373021,Blender: 1.2 UI Basics - Navigation,,,,0,0,0,1490,1189,755,1044,0,0,8,0,8,0,
727760,Umiro,Diceroll Studios,Devolver Digital,,8,1,0,725,1420,0,0,0,0,0,0,0,0,299
374711,Blender: 3.09 Modeling - Mesh - Merging,,,,0,0,0,1490,1189,755,1044,0,0,2,0,2,0,
708310,Infinite Gravity,Gravity Wave Interactive,Gravity Wave Interactive,59,24,4,76,745,841,745,841,745,841,60,60,60,60,999
374727,Blender: 5.5 UVs - Unwrapping The Cone,,,,0,0,0,1490,1189,740,1449,0,0,9,0,9,0,
769670,Gecata by Movavi - Game Recording Software,Movavi,Movavi,,5,2,0,725,1420,725,1420,725,1420,10,8,10,8,1999
374743,Blender: 8.2 Im/Export - Rigging And Placing The Asset,,,,0,0,0,1490,1189,0,0,0,0,0,0,0,0,
644110,Lone Pirate VR,b08,b08,,6,0,0,733,1014,733,1014,0,0,14,0,14,0,899
801060,ArcBall,VladProduction,VladProduction,,0,2,0,747,1034,725,1420,725,1420,241,241,241,241,99
549700,Orphan,Windy Hill,2Dimensions,,0,0,0,725,1420,0,0,0,0,0,0,0,0,0
798810,Natural Locomotion,Myou,Myou,,0,0,0,725,1420,725,1420,725,1420,1,1,1,1,599
829780,Baby's on fire: 99 virgins,CSM,W.T.B.,,1,0,0,725,1420,725,1420,725,1420,1,1,1,1,59
214050,Sanctum Beta,,,,0,0,0,733,1014,0,0,0,0,0,0,0,0,0
637040,RoadkillerZ,Black Room Games,Black Room Games,3,5,9,30,733,1014,733,1014,0,0,6,0,6,0,399
475960,Bombslinger,Mode4,Mode4,95,26,1,93,745,841,747,1034,0,0,81,0,81,0,1199
496510,M.EXE,Pedro Zea,Pedro Zea,57,22,4,88,733,1014,725,1420,0,0,41,0,41,0,699
605310,Unearthing Mars VR,Winking Entertainment,Shanghai Wishing Entertainment Limited,23,28,14,65,993,971,993,971,0,0,119,0,126,0,1499
384428,CF-3-03 Retopology - Mouth and Teeth,,,,0,0,0,747,1034,725,1420,0,0,25,0,25,0,
505680,Glaive,"Nest Egg Games, LLC","Nest Egg Games, LLC",43,11,3,76,747,1034,747,1034,0,0,4,0,4,0,99
384444,CF-5-10 Rigging - Eye blink Shapes,,,,0,0,0,747,1034,0,0,0,0,0,0,0,0,
384460,CF-7-04 Color Maps - Veins and Vessels,,,,0,0,0,747,1034,0,0,0,0,0,0,0,0,
